osmid,highway,lanes,name,ref,oneway,reversed,length,geometry,speed_kph,service,maxspeed,access,width,bridge,junction,tunnel
"[1178249867, 1178249868]",footway,,,,False,False,32.32353089575513,"LINESTRING (121.2403353 14.1788403, 121.2403271 14.178874, 121.2403193 14.1789058, 121.2402934 14.1789984, 121.2404238 14.1789824)",30.0,,,private,,,,
1174711609,footway,,,,False,True,3.947440193827822,"LINESTRING (121.2398626 14.1789132, 121.2398627 14.1788777)",30.0,,,,,,,
1330418542,footway,,,,False,False,8.113610305400996,"LINESTRING (121.2398626 14.1789132, 121.2397882 14.1789242)",30.0,,,,,,,
1330418542,footway,,,,False,True,34.3317098133135,"LINESTRING (121.2398626 14.1789132, 121.2401771 14.1788647)",30.0,,,,,,,
"[1174707512, 1174711609]",footway,,,,False,False,23.852563334169215,"LINESTRING (121.2398626 14.1789132, 121.2398634 14.1789895, 121.2398633 14.1790107, 121.2398646 14.1791277)",30.0,,,private,,,,
129414632,footway,,,,False,True,4.082582276990482,"LINESTRING (121.2397882 14.1789242, 121.2397893 14.1788875)",30.0,,,,,,,
1330418542,footway,,,,False,False,54.91359856590922,"LINESTRING (121.2397882 14.1789242, 121.2392842 14.1789957)",30.0,,,,,,,
1330418542,footway,,,,False,True,8.113610305400996,"LINESTRING (121.2397882 14.1789242, 121.2398626 14.1789132)",30.0,,,,,,,
"[129414632, 1178244945, 1178244946]",footway,,,,False,False,58.21142832977308,"LINESTRING (121.2397882 14.1789242, 121.2397877 14.1790113, 121.2397829 14.1791206, 121.2397689 14.1792315, 121.2397347 14.1793745, 121.2397101 14.1794341, 121.2397085 14.1794381)",30.0,,,,,,,
35602378,service,,,,True,False,3.102811094634563,"LINESTRING (121.2392842 14.1789957, 121.2392837 14.1790236)",30.0,,30,,,,,
1330418542,footway,,,,False,False,23.40257540030344,"LINESTRING (121.2392842 14.1789957, 121.2390712 14.1790363)",30.0,,,,,,,
1330418542,footway,,,,False,True,54.91359856590922,"LINESTRING (121.2392842 14.1789957, 121.2397882 14.1789242)",30.0,,,,,,,
75617130,footway,,,,False,False,5.937281766788119,"LINESTRING (121.2390712 14.1790363, 121.239063 14.1789835)",30.0,,,,,,,
75617130,footway,,,,False,True,1.9582252083810012,"LINESTRING (121.2390712 14.1790363, 121.2390751 14.1790535)",30.0,,,,,,,
1330418542,footway,,,,False,False,12.94119269624445,"LINESTRING (121.2390712 14.1790363, 121.2389523 14.1790523)",30.0,,,,,,,
1330418542,footway,,,,False,True,23.40257540030344,"LINESTRING (121.2390712 14.1790363, 121.2392842 14.1789957)",30.0,,,,,,,
35602392,service,,,,True,False,6.091962709915424,"LINESTRING (121.2389523 14.1790523, 121.2389376 14.1789994)",30.0,,30,,,,,
1330418542,footway,,,,False,False,27.095454961727828,"LINESTRING (121.2389523 14.1790523, 121.2387035 14.1790868)",30.0,,,,,,,
1330418542,footway,,,,False,True,12.94119269624445,"LINESTRING (121.2389523 14.1790523, 121.2390712 14.1790363)",30.0,,,,,,,
136494885,service,,,,False,False,16.77587243068937,"LINESTRING (121.2387035 14.1790868, 121.2386988 14.1792376)",20.0,driveway,20,,,,,
